1 0,60073438442954
0 0,0955647926929503
1 0,302029133845424
0 0,068874517785193
1 0,436103182145181
0 0,110808461710826
1 0,446325448493818
0 0,106877205527098
1 0,175015489648382
0 0,0874249325576258
1 0,458275801027231
0 0,117955405004936
1 0,287257696962116
0 0,10404288627031
1 0,433520503064097
0 0,139186759491602
1 0,45320947320883
0 0,100919869325454
1 0,244795631146894
0 0,0854315071714827
1 0,47106748965463
0 0,0706759072350402
1 0,50790034074089
0 0,0694459907114355
1 0,414474012674929
0 0,102211545368728
1 0,455689065731242
0 0,109093650010026
1 0,117417231628372
0 0,0824905443099992
1 0,426158777758235
0 0,103752314752338
1 0,300596189367248
0 0,144135460798136
1 0,379936096213604
0 0,115500749644851
1 0,399026149077481
0 0,135129031347695
1 0,301423333613659
0 0,134312202219693
1 0,29993676572635
0 0,0777239254878914
1 0,251950708854322
0 0,112333185126886
1 0,366216267954539
0 0,0792136565090281
1 0,303408127804484
0 0,0849118881818042
1 0,356775780603021
0 0,136771422230186
1 0,466525786233107
0 0,104148536819865
1 0,280411699842785
0 0,0906472261668165
1 0,451169273103718
0 0,0979318587968927
1 0,357271960724546
0 0,14248743526995
1 0,467477594821816
0 0,106104812605166
1 0,392835943294022
0 0,110706478098825
1 0,557502040765318
0 0,106762975581618
1 0,432844329005203
0 0,117420650342719
1 0,438265917249073
0 0,112863705046936
1 0,253069257516588
0 0,0919077335021816
1 0,417979057006298
0 0,11345236984089
1 0,330887684422854
0 0,088485748478959
1 0,489203553679056
0 0,110990478882772
1 0,381399542744093
0 0,115694669572238
1 0,151531314850226
0 0,123415010685566
1 0,574564088426408
0 0,105749686122254
1 0,359802107529409
0 0,101122606979323
1 0,238328156347138
0 0,0792055699538222
1 0,274067989919683
0 0,0934170302347685
1 0,46856171600774
0 0,131758233301957
1 0,328548837800142
0 0,0970116929157099
1 0,516510479281659
0 0,111397887701517
1 0,549321676357203
0 0,0634322046285258
1 0,435949399447621
0 0,0934351995751975
1 0,356173512704232
0 0,0697612042038919
1 0,353667213838909
0 0,0970180476850412
1 0,375129092168909
0 0,0770116253308333
1 0,453629202346599
0 0,0866727347341525
1 0,409387879801117
0 0,0963381418261673
1 0,558927747153534
0 0,103097813008814
1 0,449978934353541
0 0,0767089056504995
1 0,326279219181251
0 0,0798794349322052
1 0,361089713960602
0 0,102283282727715
1 0,407100463906265
0 0,0945565849333596
1 0,488047124284305
0 0,100118794672531
1 0,498864764976683
0 0,0954224865885379
1 0,331035451100557
0 0,114069144704989
1 0,476450566499038
0 0,0820368346237026
1 0,371320091437405
0 0,101630685919943
1 0,439642402761246
0 0,114130972918441
1 0,38042871166354
0 0,0765243119648073
1 0,236989246617525
0 0,12097882236247
1 0,379807658921128
0 0,096987582020493
1 0,406436734211523
0 0,0834804801229347
1 0,480861482371729
0 0,0979577302029341
1 0,457831346631013
0 0,131779015540615
1 0,405359179736367
0 0,113685165866151
1 0,256224946289482
0 0,136069410517365
1 0,440251483140545
0 0,0935912022951746
1 0,503109045366714
0 0,0876105756079439
1 0,338707687278455
0 0,121230664187105
1 0,354047676172578
0 0,11315946257709
1 0,377505168330244
0 0,106740563865319
1 0,34016522973894
0 0,112010164019851
1 0,365021381169452
0 0,0975994865544459
1 0,312970170945087
0 0,0807904241217483
1 0,448240904798398
0 0,107772192353418
1 0,416490525973937
0 0,112433892033824
1 0,436528760784116
0 0,0856637690543916
1 0,290347819629097
0 0,106579364838549
1 0,628805650163792
0 0,0677040702187926
1 0,641043111988894
0 0,0330262408077319
1 0,377851355313694
0 0,0850359340598152
1 0,412658756574708
0 0,11946091352296
1 0,478165607803098
0 0,101215331778585
1 0,348610122233386
0 0,0445208892654386
1 0,451436005640498
0 0,103613017822441
1 0,43688367417323
0 0,075676429373114
1 0,292139570559069
0 0,102547422201917
1 0,382102691891013
0 0,0980452390353726
1 0,561181466658545
0 0,124551421130665
1 0,521930616329064
0 0,100590632294507
1 0,440497560906325
0 0,112401393087414
1 0,301752705495654
0 0,116558262535775
1 0,372231897743807
0 0,0925933551561691
1 0,450205027252141
0 0,131182832571623
1 0,274200817120369
0 0,0943589412140078
1 0,435377763497647
0 0,0818937384090432
1 0,382995017358955
0 0,112339863335963
1 0,371384540626396
0 0,0943326273175377
1 0,457049683380081
0 0,073255130983065
1 0,327198643543768
0 0,0565218696645098
1 0,532083765185668
0 0,0918779228535391
1 0,316649494435289
0 0,0822408032805112
1 0,542173980529216
0 0,112897660103989
1 0,371674718782909
0 0,0872379862001626
